"","EA_Dataset","Reach_Name","SITE","PU_Gap_Code","Site_Type","COUNT","Event_Date","SAMPTYPE","LAB_NAME","LAB_ID","TAXONOMIST","LAB_TAXON","TAXON_NAME","NUM_IN_RC","IMMATURE","INDETERMINATE","CONDITION","DISTINCT","AGGREGATED","LAB_COMMENTS","KINGDOM","PHYLUM","SUBPHYLUM","CLASS","SUBCLASS","INFRACLASS","SUPERORDER","ORDER","SUBORDER","INFRAORDER","SUPERFAMILY","FAMILY","SUBFAMILY","TRIBE","SUBTRIBE","GENUS","SUBGENUS","SPECIES","SUBSPECIES","ADDITIONS","ITIS_TAXON_SN","LIFE_STAGE","ABUNDANCE","REP","LARGE_RARE_TAXA"
"45","2","kasky2349","2349",NA,NA,NA,"7/22/2013","Freshwater","EcoAnalysts","7824.04-3","L. Flaherty","28","Naididae",NA,"N","N","N","Y",0,"","Animalia","Annelida","","Clitellata","Oligochaeta","","","Tubificida","","","","Naididae","","",NA,"","","",NA,NA,"68854","Larvae",1,NA,"N"
"46","2","kasky2353A","2353A",NA,NA,NA,"6/27/2016","Freshwater","EcoAnalysts","7824.02-28","J. Pfeiffer","68","Nematomorpha",NA,"N","N","N","Y",0,"","Animalia","Nematomorpha","","","","","","","","","","","","",NA,"","","",NA,NA,"64183","Larvae",1,NA,"N"
"47","2","kasky2552","2552",NA,NA,NA,"7/29/2015","Freshwater","EcoAnalysts","7824.01-10","K. Guild","101","Sphaeriidae",1,"N","N","N","Y",0,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Sphaeriidae","","",NA,"","","",NA,NA,"81390","Adults",1,NA,"N"
"48","2","kasky2636","2636",NA,NA,NA,"6/29/2016","Freshwater","EcoAnalysts","7824.02-22","J. Pfeiffer","3126","Unionicola sp.",1,"N","N","N","Y",0,"","Animalia","Arthropoda","Chelicerata","Arachnida","Acari","","Acariformes","Trombidiformes","","","","Unionicolidae","","",NA,"Unionicola","","sp.",NA,NA,"83073","Adults",1,NA,"N"
"49","2","kasky2745","2745",NA,NA,NA,"7/25/2017","Freshwater","EcoAnalysts","7824.04-15","G. Wallace","768","Ablabesmyia mallochi",NA,"N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Tanypodinae","Pentaneurini",NA,"Ablabesmyia","","Ablabesmyia mallochi",NA,NA,"128097","Larvae",3,NA,"N"
"50","2","kasky2773","2773",NA,NA,NA,"7/5/2017","Freshwater","EcoAnalysts","7824.03-6","K. Guild","68","Nematomorpha",1,"N","N","N","Y",0,"","Animalia","Nematomorpha","","","","","","","","","","","","",NA,"","","",NA,NA,"64183","Larvae",1,NA,"N"
"51","2","kasky2781","2781",NA,NA,NA,"7/30/2015","Freshwater","EcoAnalysts","7824.04-29","A. Navesky","3329","Musculium transversum",NA,"N","N","N","Y",1,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Sphaeriidae","","",NA,"Musculium","","Musculium transversum",NA,NA,"81428","Larvae",2,NA,"N"
"52","2","kasky288","288",NA,NA,NA,"6/8/2017","Freshwater","EcoAnalysts","7824.03-3","K. Guild","439","Ancyronyx variegatus",1,"N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","","","Elmidae","","",NA,"Ancyronyx","","Ancyronyx variegatus",NA,NA,"114194","Larvae",1,NA,"N"
"53","2","kasky2911","2911",NA,NA,NA,"8/2/2017","Freshwater","EcoAnalysts","7824.04-6","A. Navesky","102","Musculium sp.",1,"N","N","N","Y",0,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Sphaeriidae","","",NA,"Musculium","","sp.",NA,NA,"81427","Larvae",1,NA,"N"
"54","2","kasky3461","3461",NA,NA,NA,"6/28/2016","Freshwater","EcoAnalysts","7824.02-29","J. Pfeiffer","102","Musculium sp.",NA,"N","N","N","Y",0,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Sphaeriidae","","",NA,"Musculium","","sp.",NA,NA,"81427","Larvae",4,NA,"N"
"55","2","kasky3496","3496",NA,NA,NA,"7/23/2013","Freshwater","EcoAnalysts","7824.04-11","A. Navesky","102","Musculium sp.",NA,"N","N","N","Y",3,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Sphaeriidae","","",NA,"Musculium","","sp.",NA,NA,"81427","Larvae",5,NA,"N"
"56","2","kasky3565","3565",NA,NA,NA,"7/29/2015","Freshwater","EcoAnalysts","7824.04-25","A. Navesky","101","Sphaeriidae",1,"Y","N","N","Y",0,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Sphaeriidae","","",NA,"","","",NA,NA,"81390","Larvae",1,NA,"N"
"57","2","kasky3584","3584",NA,NA,NA,"6/23/2016","Freshwater","EcoAnalysts","7824.02-30","J. Pfeiffer","2368","Corbicula sp.",NA,"N","N","N","Y",0,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Corbiculidae","","",NA,"Corbicula","","sp.",NA,NA,"81385","Larvae",9,NA,"N"
"58","2","kasky3593","3593",NA,NA,NA,"6/22/2016","Freshwater","EcoAnalysts","7824.02-31","J. Pfeiffer","102","Musculium sp.",NA,"N","N","N","Y",0,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Sphaeriidae","","",NA,"Musculium","","sp.",NA,NA,"81427","Larvae",1,NA,"N"
"59","2","kasky3841","3841",NA,NA,NA,"7/29/2015","Freshwater","EcoAnalysts","7824.01-11","K. Guild","2368","Corbicula sp.",1,"N","N","N","Y",0,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Corbiculidae","","",NA,"Corbicula","","sp.",NA,NA,"81385","Adults",4,NA,"N"
"60","2","kasky4092","4092",NA,NA,NA,"6/22/2016","Freshwater","EcoAnalysts","7824.02-32","J. Pfeiffer","68","Nematomorpha",1,"N","N","N","Y",0,"","Animalia","Nematomorpha","","","","","","","","","","","","",NA,"","","",NA,NA,"64183","Larvae",1,1,"N"
"61","2","kasky421","421",NA,NA,NA,"6/8/2017","Freshwater","EcoAnalysts","7824.03-5","K. Guild","3143","Mideopsis sp.",1,"N","N","N","Y",0,"","Animalia","Arthropoda","Chelicerata","Arachnida","Acari","","Acariformes","Trombidiformes","","","","Mideopsidae","","",NA,"Mideopsis","","sp.",NA,NA,"83479","Adults",1,NA,"N"
"62","2","kasky44","44",NA,NA,NA,"6/24/2015","Freshwater","EcoAnalysts","7824.01-4","K. Guild","103","Pisidium sp.",NA,"N","N","N","Y",0,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Sphaeriidae","","",NA,"Pisidium","","sp.",NA,NA,"81400","Adults",1,NA,"N"
"63","2","kasky4479","4479",NA,NA,NA,"7/1/2014","Freshwater","EcoAnalysts","7824.04-7","A. Navesky","3143","Mideopsis sp.",1,"N","N","N","Y",0,"","Animalia","Arthropoda","Chelicerata","Arachnida","Acari","","Acariformes","Trombidiformes","","","","Mideopsidae","","",NA,"Mideopsis","","sp.",NA,NA,"83479","Adults",1,NA,"N"
"64","2","kasky4504","4504",NA,NA,NA,"6/22/2016","Freshwater","EcoAnalysts","7824.02-34","J. Pfeiffer","3005","Oxus sp.",1,"N","N","N","Y",0,"","Animalia","Arthropoda","Chelicerata","Arachnida","Acari","","Acariformes","Trombidiformes","","","","Oxidae","","",NA,"Oxus","","sp.",NA,NA,"83244","Larvae",1,NA,"N"
"65","2","kasky4532","4532",NA,NA,NA,"7/21/2015","Freshwater","EcoAnalysts","7824.01-12","L. Flaherty","9","Enchytraeidae",NA,"N","N","N","Y",0,"","Animalia","Annelida","","Clitellata","Oligochaeta","","","Enchytraeida","","","","Enchytraeidae","","",NA,"","","",NA,NA,"68510","Larvae",2,NA,"N"
"66","2","kasky5001","5001",NA,NA,NA,"7/21/2015","Freshwater","EcoAnalysts","7824.01-3","K. Guild","103","Pisidium sp.",1,"N","N","N","Y",0,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Sphaeriidae","","",NA,"Pisidium","","sp.",NA,NA,"81400","Adults",6,NA,"N"
"67","2","kasky5128","5128",NA,NA,NA,"7/22/2015","Freshwater","EcoAnalysts","7824.01-14","K. Guild","104","Sphaerium sp.",NA,"N","N","N","Y",5,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Sphaeriidae","","",NA,"Sphaerium","","sp.",NA,NA,"81391","Adults",11,NA,"N"
"68","2","kasky517","517",NA,NA,NA,"6/29/2017","Freshwater","EcoAnalysts","7824.03-2","K. Guild","2368","Corbicula sp.",NA,"N","N","N","Y",0,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Corbiculidae","","",NA,"Corbicula","","sp.",NA,NA,"81385","Adults",1,NA,"N"
"69","2","kasky5234","5234",NA,NA,NA,"8/1/2017","Freshwater","EcoAnalysts","7824.04-12","L. Flaherty","28","Naididae",NA,"N","N","N","Y",0,"","Animalia","Annelida","","Clitellata","Oligochaeta","","","Tubificida","","","","Naididae","","",NA,"","","",NA,NA,"68854","Larvae",3,NA,"N"
"70","2","kasky5667","5667",NA,NA,NA,"7/22/2015","Freshwater","EcoAnalysts","7824.01-13","L. Flaherty","28","Naididae",NA,"N","N","N","Y",0,"","Animalia","Annelida","","Clitellata","Oligochaeta","","","Tubificida","","","","Naididae","","",NA,"","","",NA,NA,"68854","Larvae",1,NA,"N"
"71","2","kasky5764","5764",NA,NA,NA,"7/22/2015","Freshwater","EcoAnalysts","7824.01-2","K. Guild","477","Stenelmis sp.",NA,"N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","","","Elmidae","","",NA,"Stenelmis","","sp.",NA,NA,"114095","Larvae",1,NA,"N"
"72","2","kasky5770","5770",NA,NA,NA,"7/22/2015","Freshwater","EcoAnalysts","7824.01-1","K. Guild","447","Dubiraphia sp.",2,"N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","","","Elmidae","","",NA,"Dubiraphia","","sp.",NA,NA,"114126","Larvae",1,NA,"N"
"73","2","kasky661","661",NA,NA,NA,"7/5/2017","Freshwater","EcoAnalysts","7824.04-31","L. Flaherty","28","Naididae",NA,"N","N","N","Y",0,"","Animalia","Annelida","","Clitellata","Oligochaeta","","","Tubificida","","","","Naididae","","",NA,"","","",NA,NA,"68854","Larvae",6,NA,"N"
"74","2","kasky745","745",NA,NA,NA,"6/13/2016","Freshwater","EcoAnalysts","7824.02-14","L. Flaherty","9","Enchytraeidae",NA,"N","N","N","Y",0,"","Animalia","Annelida","","Clitellata","Oligochaeta","","","Enchytraeida","","","","Enchytraeidae","","",NA,"","","",NA,NA,"68510","Larvae",1,NA,"N"
"75","2","kasky761","761",NA,NA,NA,"7/26/2016","Freshwater","EcoAnalysts","7824.02-3","J. Pfeiffer","2992","Lebertia sp.",NA,"N","N","N","Y",0,"","Animalia","Arthropoda","Chelicerata","Arachnida","Acari","","Acariformes","Trombidiformes","","","","Lebertiidae","","",NA,"Lebertia","","sp.",NA,NA,"83034","Larvae",1,NA,"N"
"76","2","kasky761","761",NA,NA,NA,"7/3/2017","Freshwater","EcoAnalysts","7824.04-1","A. Navesky","67","Nematoda",1,"N","N","N","Y",0,"","Animalia","Nematoda","","","","","","","","","","","","",NA,"","","",NA,NA,"59490","Larvae",1,NA,"N"
"77","2","kasky786","786",NA,NA,NA,"7/26/2016","Freshwater","EcoAnalysts","7824.02-4","J. Pfeiffer","2368","Corbicula sp.",NA,"N","N","N","Y",0,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Corbiculidae","","",NA,"Corbicula","","sp.",NA,NA,"81385","Larvae",1,NA,"N"
"78","2","kasky835","835",NA,NA,NA,"8/3/2017","Freshwater","EcoAnalysts","7824.04-34","A. Navesky","2368","Corbicula sp.",NA,"N","N","N","Y",0,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Corbiculidae","","",NA,"Corbicula","","sp.",NA,NA,"81385","Larvae",15,NA,"N"
"79","2","kasky884","884",NA,NA,NA,"6/6/2017","Freshwater","EcoAnalysts","7824.03-7","K. Guild","3329","Musculium transversum",NA,"N","N","N","Y",0,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Sphaeriidae","","",NA,"Musculium","","Musculium transversum",NA,NA,"81428","Adults",1,NA,"N"
"80","2","kasky92","92",NA,NA,NA,"6/29/2017","Freshwater","EcoAnalysts","7824.03-10","K. Guild","2368","Corbicula sp.",NA,"N","N","N","Y",0,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Corbiculidae","","",NA,"Corbicula","","sp.",NA,NA,"81385","Adults",5,NA,"N"
"81","2","kasky939","939",NA,NA,NA,"8/1/2016","Freshwater","EcoAnalysts","7824.02-5","L. Flaherty","9","Enchytraeidae",NA,"N","N","N","Y",0,"","Animalia","Annelida","","Clitellata","Oligochaeta","","","Enchytraeida","","","","Enchytraeidae","","",NA,"","","",NA,NA,"68510","Larvae",1,NA,"N"
"82","2","kasky939","939",NA,NA,NA,"7/10/2017","Freshwater","EcoAnalysts","7824.04-4","A. Navesky","67","Nematoda",NA,"N","N","N","Y",0,"","Animalia","Nematoda","","","","","","","","","","","","",NA,"","","",NA,NA,"59490","Larvae",1,NA,"N"
"83","2","kasky948","948",NA,NA,NA,"6/26/2017","Freshwater","EcoAnalysts","7824.04-17","A. Navesky","68","Nematomorpha",NA,"N","N","N","Y",0,"","Animalia","Nematomorpha","","","","","","","","","","","","",NA,"","","",NA,NA,"64183","Larvae",1,NA,"N"
"84","2","kasky950","950",NA,NA,NA,"6/4/2015","Freshwater","EcoAnalysts","7824.01-5","K. Guild","67","Nematoda",NA,"N","N","N","Y",0,"","Animalia","Nematoda","","","","","","","","","","","","",NA,"","","",NA,NA,"59490","Larvae",1,NA,"N"
"85","2","kasky957","957",NA,NA,NA,"7/19/2016","Freshwater","EcoAnalysts","7824.02-6","L. Flaherty","3049","Acanthocephala",1,"N","N","N","Y",0,"RC#4","Animalia","Acanthocephala","","","","","","","","","","","","",NA,"","","",NA,NA,"64238","Larvae",1,NA,"N"
"86","2","kasky957","957",NA,NA,NA,"7/10/2017","Freshwater","EcoAnalysts","7824.03-1","K. Guild","2368","Corbicula sp.",1,"N","N","N","Y",2,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Corbiculidae","","",NA,"Corbicula","","sp.",NA,NA,"81385","Adults",12,NA,"N"
"87","2","kasky969","969",NA,NA,NA,"6/19/2017","Freshwater","EcoAnalysts","7824.04-18","A. Navesky","102","Musculium sp.",NA,"Y","N","N","Y",0,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Sphaeriidae","","",NA,"Musculium","","sp.",NA,NA,"81427","Larvae",3,NA,"N"
"88","2","kasky992","992",NA,NA,NA,"6/28/2016","Freshwater","EcoAnalysts","7824.02-15","J. Pfeiffer","103","Pisidium sp.",NA,"N","N","N","Y",0,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Sphaeriidae","","",NA,"Pisidium","","sp.",NA,NA,"81400","Larvae",1,NA,"N"
"89","2","F15","F15",NA,NA,NA,"8/26/2015","Freshwater","EcoAnalysts","7824.04-30","A. Navesky","2368","Corbicula sp.",1,"N","N","N","Y",0,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Corbiculidae","","",NA,"Corbicula","","sp.",NA,NA,"81385","Larvae",6,NA,"N"
"90","2","F6","F6",NA,NA,NA,"9/10/2015","Freshwater","EcoAnalysts","7824.04-35","A. Navesky","2368","Corbicula sp.",NA,"N","N","N","Y",3,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Corbiculidae","","",NA,"Corbicula","","sp.",NA,NA,"81385","Larvae",21,NA,"N"
"91","2","F7","F7",NA,NA,NA,"9/14/2015","Freshwater","EcoAnalysts","7824.04-27","A. Navesky","93","Physa sp.",NA,"N","N","N","Y",0,"","Animalia","Mollusca","","Gastropoda","Heterobranchia","","","Hygrophila","","","Lymneoidea","Physidae","","",NA,"Physa","","sp.",NA,NA,"76677","Larvae",5,NA,"N"
"92","2","F9","F9",NA,NA,NA,"9/14/2015","Freshwater","EcoAnalysts","7824.04-32","A. Navesky","68","Nematomorpha",NA,"N","N","N","Y",0,"","Animalia","Nematomorpha","","","","","","","","","","","","",NA,"","","",NA,NA,"64183","Larvae",1,NA,"N"
