TAXON_NAME,LIFE_STAGE,Total_Abundance,Site_Frequency,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Subtribe,Genus,Subgenus,Species,Subspecies
Ablabesmyia (Karelia),Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Pentaneurini,NA,Ablabesmyia,Ablabesmyia (Karelia),sp.,NA
Ablabesmyia mallochi,Larvae,2482,136,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Pentaneurini,NA,Ablabesmyia,NA,Ablabesmyia mallochi,NA
Ablabesmyia mallochi,Pupae,133,60,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Pentaneurini,NA,Ablabesmyia,NA,Ablabesmyia mallochi,NA
Ablabesmyia peleensis,Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Pentaneurini,NA,Ablabesmyia,NA,Ablabesmyia peleensis,NA
Ablabesmyia peleensis,Pupae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Pentaneurini,NA,Ablabesmyia,NA,Ablabesmyia peleensis,NA
Ablabesmyia rhamphe gr.,Larvae,57,4,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Pentaneurini,NA,Ablabesmyia,NA,Ablabesmyia rhamphe gr.,NA
Ablabesmyia sp.,Larvae,139,24,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Pentaneurini,NA,Ablabesmyia,NA,sp.,NA
Acanthocephala,Larvae,1,1,Animalia,Acanthocephala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acari,Adults,1,1,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acari,Larvae,1,1,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acentrella parvula,Larvae,21,6,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Baetidae,NA,NA,NA,Acentrella,NA,Acentrella parvula,NA
Acerpenna pygmaea,Larvae,244,21,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Baetidae,NA,NA,NA,Acerpenna,NA,Acerpenna pygmaea,NA
Acerpenna sp.,Larvae,296,48,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Baetidae,NA,NA,NA,Acerpenna,NA,sp.,NA
Aedes sp.,Larvae,8,4,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Culicidae,NA,NA,NA,Aedes,NA,sp.,NA
Aedes sp.,Pupae,3,2,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Culicidae,NA,NA,NA,Aedes,NA,sp.,NA
Aeshnidae,Larvae,12,11,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Aeshnidae,NA,NA,NA,NA,NA,NA,NA
Agabus sp.,Adults,4,3,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Adephaga,NA,NA,Dytiscidae,Colymbetinae,NA,NA,Agabus,NA,sp.,NA
Agabus sp.,Larvae,13,3,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Adephaga,NA,NA,Dytiscidae,Colymbetinae,NA,NA,Agabus,NA,sp.,NA
Alotanypus sp.,Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Macropelopiini,NA,Alotanypus,NA,sp.,NA
Anacaena sp.,Adults,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Hydrophilidae,NA,NA,NA,Anacaena,NA,sp.,NA
Anafroptilum sp.,Larvae,19,9,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Baetidae,NA,NA,NA,Anafroptilum,NA,sp.,NA
Ancylidae,Larvae,2,2,Animalia,Mollusca,NA,Gastropoda,NA,NA,NA,Basommatophora,NA,NA,NA,Ancylidae,NA,NA,NA,NA,NA,NA,NA
Ancyronyx variegatus,Adults,67,17,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Elmidae,NA,NA,NA,Ancyronyx,NA,Ancyronyx variegatus,NA
Ancyronyx variegatus,Larvae,25,15,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Elmidae,NA,NA,NA,Ancyronyx,NA,Ancyronyx variegatus,NA
Anisoptera,Larvae,3,3,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anopheles sp.,Larvae,56,33,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Culicidae,NA,NA,NA,Anopheles,NA,sp.,NA
Anopheles sp.,Pupae,13,8,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Culicidae,NA,NA,NA,Anopheles,NA,sp.,NA
Argia sp.,Larvae,744,68,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Zygoptera,NA,NA,Coenagrionidae,NA,NA,NA,Argia,NA,sp.,NA
Asellidae,Larvae,1,1,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,NA,Peracarida,Isopoda,Asellota,NA,Aselloidea,Asellidae,NA,NA,NA,NA,NA,NA,NA
Atrichopogon sp.,Larvae,14,12,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Ceratopogonidae,Forcipomyiinae,NA,NA,Atrichopogon,NA,sp.,NA
Atylotus/Tabanus sp.,Larvae,9,7,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Brachycera,NA,NA,Tabanidae,NA,NA,NA,Atylotus/Tabanus,NA,sp.,NA
Axarus sp.,Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Axarus,NA,sp.,NA
Baetidae,Larvae,2,2,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Baetidae,NA,NA,NA,NA,NA,NA,NA
Baetis flavistriga,Larvae,235,29,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Baetidae,NA,NA,NA,Baetis,NA,Baetis flavistriga,NA
Baetis intercalaris,Larvae,711,47,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Baetidae,NA,NA,NA,Baetis,NA,Baetis intercalaris,NA
Baetis sp.,Larvae,5,4,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Baetidae,NA,NA,NA,Baetis,NA,sp.,NA
Basiaeschna janata,Larvae,97,45,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Aeshnidae,NA,NA,NA,Basiaeschna,NA,Basiaeschna janata,NA
Belostoma sp.,Larvae,5,3,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Hemiptera,Heteroptera,NA,NA,Belostomatidae,NA,NA,NA,Belostoma,NA,sp.,NA
Belostomatidae,Larvae,4,2,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Hemiptera,Heteroptera,NA,NA,Belostomatidae,NA,NA,NA,NA,NA,NA,NA
Berosus sp.,Adults,23,15,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Hydrophilidae,NA,NA,NA,Berosus,NA,sp.,NA
Berosus sp.,Larvae,49,20,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Hydrophilidae,NA,NA,NA,Berosus,NA,sp.,NA
Bezzia/Palpomyia sp.,Larvae,7,3,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Ceratopogonidae,Ceratopogoninae,NA,NA,Bezzia/Palpomyia,NA,sp.,NA
Bivalvia,Larvae,1,1,Animalia,Mollusca,NA,Bivalvia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyeria sp.,Larvae,3,3,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Aeshnidae,NA,NA,NA,Boyeria,NA,sp.,NA
Boyeria vinosa,Larvae,14,9,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Aeshnidae,NA,NA,NA,Boyeria,NA,Boyeria vinosa,NA
Brachycentrus americanus,Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Brachycentridae,NA,NA,NA,Brachycentrus,NA,Brachycentrus americanus,NA
Brachycercinae,Larvae,2,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Caenidae,Brachycercinae,NA,NA,NA,NA,NA,NA
Brillia sp.,Larvae,10,7,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Brillia,NA,sp.,NA
Caecidotea intermedia,Larvae,99,3,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,NA,Peracarida,Isopoda,Asellota,NA,Aselloidea,Asellidae,NA,NA,NA,Caecidotea,NA,Caecidotea intermedia,NA
Caecidotea racovitzai,Larvae,537,2,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,NA,Peracarida,Isopoda,Asellota,NA,Aselloidea,Asellidae,NA,NA,NA,Caecidotea,NA,Caecidotea racovitzai,NA
Caecidotea sp.,Larvae,571,28,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,NA,Peracarida,Isopoda,Asellota,NA,Aselloidea,Asellidae,NA,NA,NA,Caecidotea,NA,sp.,NA
Caenis hilaris,Larvae,27,5,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Caenidae,NA,NA,NA,Caenis,NA,Caenis hilaris,NA
Caenis latipennis,Larvae,342,14,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Caenidae,NA,NA,NA,Caenis,NA,Caenis latipennis,NA
Caenis sp.,Larvae,1238,74,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Caenidae,NA,NA,NA,Caenis,NA,sp.,NA
Callibaetis sp.,Larvae,119,31,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Baetidae,NA,NA,NA,Callibaetis,NA,sp.,NA
Calopterygidae,Larvae,57,14,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Zygoptera,NA,NA,Calopterygidae,NA,NA,NA,NA,NA,NA,NA
Calopteryx sp.,Larvae,197,37,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Zygoptera,NA,NA,Calopterygidae,NA,NA,NA,Calopteryx,NA,sp.,NA
Cambaridae,Adults,35,16,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,NA,Eucarida,Decapoda,Pleocyemata,Astacidea,Astacoidea,Cambaridae,NA,NA,NA,NA,NA,NA,NA
Cambaridae,Larvae,351,72,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,NA,Eucarida,Decapoda,Pleocyemata,Astacidea,Astacoidea,Cambaridae,NA,NA,NA,NA,NA,NA,NA
Campeloma decisum,Larvae,3,1,Animalia,Mollusca,NA,Gastropoda,Prosobranchia,NA,NA,Architaenioglossa,NA,NA,NA,Viviparidae,NA,NA,NA,Campeloma,NA,Campeloma decisum,NA
Capniidae,Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Plecoptera,NA,NA,NA,Capniidae,NA,NA,NA,NA,NA,NA,NA
Cenocorixa sp.,Adults,4,2,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Hemiptera,Heteroptera,NA,NA,Corixidae,NA,NA,NA,Cenocorixa,NA,sp.,NA
Cenocorixa sp.,Larvae,3,2,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Hemiptera,Heteroptera,NA,NA,Corixidae,NA,NA,NA,Cenocorixa,NA,sp.,NA
Centroptilum sp.,Larvae,48,19,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Baetidae,NA,NA,NA,Centroptilum,NA,sp.,NA
Ceraclea sp.,Larvae,7,3,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Leptoceridae,NA,NA,NA,Ceraclea,NA,sp.,NA
Ceratopogonidae,Pupae,8,8,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Ceratopogonidae,NA,NA,NA,NA,NA,NA,NA
Ceratopogoninae,Larvae,33,24,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Ceratopogonidae,Ceratopogoninae,NA,NA,NA,NA,NA,NA
Ceratopogoninae,Pupae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Ceratopogonidae,Ceratopogoninae,NA,NA,NA,NA,NA,NA
Chaoborus sp.,Larvae,10,6,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chaoboridae,NA,NA,NA,Chaoborus,NA,sp.,NA
Chaoborus sp.,Pupae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chaoboridae,NA,NA,NA,Chaoborus,NA,sp.,NA
Chauliodes sp.,Larvae,7,6,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Neuropterida,Megaloptera,NA,NA,NA,Corydalidae,Chauliodinae,NA,NA,Chauliodes,NA,sp.,NA
Chauliodinae,Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Neuropterida,Megaloptera,NA,NA,NA,Corydalidae,Chauliodinae,NA,NA,NA,NA,NA,NA
Cheumatopsyche sp.,Larvae,6354,135,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Hydropsychidae,Hydropsychinae,NA,NA,Cheumatopsyche,NA,sp.,NA
Cheumatopsyche sp.,Pupae,6,4,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Hydropsychidae,Hydropsychinae,NA,NA,Cheumatopsyche,NA,sp.,NA
Chimarra obscura,Larvae,12,4,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Philopotamidae,NA,NA,NA,Chimarra,NA,Chimarra obscura,NA
Chimarra sp.,Larvae,3,2,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Philopotamidae,NA,NA,NA,Chimarra,NA,sp.,NA
Chironomini,Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,NA,NA,NA,NA
Chironomus sp.,Larvae,1831,124,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Chironomus,NA,sp.,NA
Chironomus sp.,Pupae,45,26,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Chironomus,NA,sp.,NA
Chrysops sp.,Larvae,19,11,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Brachycera,NA,NA,Tabanidae,NA,NA,NA,Chrysops,NA,sp.,NA
Cincinnatia sp.,Larvae,79,1,Animalia,Mollusca,NA,Gastropoda,Caenogastropoda,NA,NA,Littoridinomorpha,NA,NA,Truncatelloidea,Hydrobiidae,NA,NA,NA,Cincinnatia,NA,sp.,NA
Cladopelma sp.,Larvae,3,2,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Cladopelma,NA,sp.,NA
Cladopelma sp.,Pupae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Cladopelma,NA,sp.,NA
Cladotanytarsus sp.,Larvae,2063,93,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Tanytarsini,NA,Cladotanytarsus,NA,sp.,NA
Cladotanytarsus sp.,Pupae,169,31,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Tanytarsini,NA,Cladotanytarsus,NA,sp.,NA
Clinotanypus sp.,Larvae,30,14,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Coelotanypodini,NA,Clinotanypus,NA,sp.,NA
Coenagrion/Enallagma sp.,Larvae,217,29,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Zygoptera,NA,NA,Coenagrionidae,NA,NA,NA,Coenagrion/Enallagma,NA,sp.,NA
Coenagrionidae,Larvae,223,55,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Zygoptera,NA,NA,Coenagrionidae,NA,NA,NA,NA,NA,NA,NA
Copelatus sp.,Adults,2,2,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Adephaga,NA,NA,Dytiscidae,Copelatinae,NA,NA,Copelatus,NA,sp.,NA
Copelatus sp.,Larvae,2,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Adephaga,NA,NA,Dytiscidae,Copelatinae,NA,NA,Copelatus,NA,sp.,NA
Coptotomus sp.,Adults,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Adephaga,NA,NA,Dytiscidae,Colymbetinae,NA,NA,Coptotomus,NA,sp.,NA
Corbicula sp.,Adults,38,6,Animalia,Mollusca,NA,Bivalvia,Heterodonta,NA,NA,Veneroida,NA,NA,Corbiculoidea,Corbiculidae,NA,NA,NA,Corbicula,NA,sp.,NA
Corbicula sp.,Larvae,280,30,Animalia,Mollusca,NA,Bivalvia,Heterodonta,NA,NA,Veneroida,NA,NA,Corbiculoidea,Corbiculidae,NA,NA,NA,Corbicula,NA,sp.,NA
Corbiculoidea,Larvae,1,1,Animalia,Mollusca,NA,Bivalvia,Heterodonta,NA,NA,Veneroida,NA,NA,Corbiculoidea,NA,NA,NA,NA,NA,NA,NA,NA
Cordulegaster sp.,Larvae,2,2,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Cordulegastridae,NA,NA,NA,Cordulegaster,NA,sp.,NA
Corduliidae,Larvae,5,4,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Corduliidae,NA,NA,NA,NA,NA,NA,NA
Corixidae,Adults,3,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Hemiptera,Heteroptera,NA,NA,Corixidae,NA,NA,NA,NA,NA,NA,NA
Corixidae,Larvae,52,22,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Hemiptera,Heteroptera,NA,NA,Corixidae,NA,NA,NA,NA,NA,NA,NA
Corydalidae,Larvae,2,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Neuropterida,Megaloptera,NA,NA,NA,Corydalidae,NA,NA,NA,NA,NA,NA,NA
Corydalus cornutus,Larvae,8,4,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Neuropterida,Megaloptera,NA,NA,NA,Corydalidae,Corydalinae,NA,NA,Corydalus,NA,Corydalus cornutus,NA
Corydalus sp.,Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Neuropterida,Megaloptera,NA,NA,NA,Corydalidae,Corydalinae,NA,NA,Corydalus,NA,sp.,NA
Corynoneura sp.,Larvae,81,30,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Corynoneura,NA,sp.,NA
Crangonyx sp.,Larvae,57,12,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,NA,Peracarida,Amphipoda,Gammaridea,NA,NA,Crangonyctidae,NA,NA,NA,Crangonyx,NA,sp.,NA
Cricotopus bicinctus gr.,Larvae,820,69,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Cricotopus,Cricotopus (Cricotopus),Cricotopus bicinctus gr.,NA
Cricotopus bicinctus gr.,Pupae,35,15,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Cricotopus,Cricotopus (Cricotopus),Cricotopus bicinctus gr.,NA
Cricotopus sp.,Larvae,76,25,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Cricotopus,NA,sp.,NA
Cricotopus sp.,Pupae,22,11,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Cricotopus,NA,sp.,NA
Cricotopus trifascia gr.,Larvae,19,5,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Cricotopus,Cricotopus (Cricotopus),Cricotopus trifascia gr.,NA
Cricotopus trifascia gr.,Pupae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Cricotopus,Cricotopus (Cricotopus),Cricotopus trifascia gr.,NA
Cricotopus/Orthocladius sp.,Larvae,19,10,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Cricotopus/Orthocladius,NA,sp.,NA
Cryptochironomus sp.,Larvae,662,135,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Cryptochironomus,NA,sp.,NA
Cryptochironomus sp.,Pupae,15,15,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Cryptochironomus,NA,sp.,NA
